colour	x	y	key	label	showSelectedlegendcolour	showSelected.variable	showSelected.value	group
#FF0000	1.45	5.1	BIC -1	total too low = -8612.7 (2845/2845 intervals)	BIC	BIC.thresh	-6.57589541978262	1
#FF0000	1.45	5.8	BIC 0	573 intervals correctly predicted	BIC	BIC.thresh	-6.57589541978262	2
#FF0000	1.45	5.1	BIC -1	total too low = -5299.4 (2735/2845 intervals)	BIC	BIC.thresh	-5.39751112112849	1
#FF0000	1.45	5.8	BIC 0	683 intervals correctly predicted	BIC	BIC.thresh	-5.39751112112849	2
#FF0000	1.45	5.1	BIC -1	total too low = -4387.4 (2620/2845 intervals)	BIC	BIC.thresh	-5.05722826783035	1
#FF0000	1.45	5.8	BIC 0	798 intervals correctly predicted	BIC	BIC.thresh	-5.05722826783035	2
#FF0000	1.45	5.1	BIC -1	total too low = -3844.5 (2503/2845 intervals)	BIC	BIC.thresh	-4.84573478689296	1
#FF0000	1.45	5.8	BIC 0	915 intervals correctly predicted	BIC	BIC.thresh	-4.84573478689296	2
#FF0000	1.45	5.1	BIC -1	total too low = -3463.8 (2387/2845 intervals)	BIC	BIC.thresh	-4.69040993871041	1
#FF0000	1.45	5.8	BIC 0	1031 intervals correctly predicted	BIC	BIC.thresh	-4.69040993871041	2
#FF0000	1.45	5.1	BIC -1	total too low = -3094.4 (2271/2845 intervals)	BIC	BIC.thresh	-4.53233890237791	1
#FF0000	1.45	5.8	BIC 0	1147 intervals correctly predicted	BIC	BIC.thresh	-4.53233890237791	2
#FF0000	1.45	5.1	BIC -1	total too low = -2798.2 (2154/2845 intervals)	BIC	BIC.thresh	-4.39858038161976	1
#FF0000	1.45	5.8	BIC 0	1264 intervals correctly predicted	BIC	BIC.thresh	-4.39858038161976	2
#FF0000	1.45	5.1	BIC -1	total too low = -2526.7 (2041/2845 intervals)	BIC	BIC.thresh	-4.26925544541917	1
#FF0000	1.45	5.8	BIC 0	1377 intervals correctly predicted	BIC	BIC.thresh	-4.26925544541917	2
#FF0000	1.45	5.1	BIC -1	total too low = -2288.7 (1924/2845 intervals)	BIC	BIC.thresh	-4.14938534774656	1
#FF0000	1.45	5.8	BIC 0	1494 intervals correctly predicted	BIC	BIC.thresh	-4.14938534774656	2
#FF0000	1.45	5.1	BIC -1	total too low = -2089.4 (1806/2845 intervals)	BIC	BIC.thresh	-4.04281966444467	1
